outcome,spec,cohort_bin,n,n_treated,treated_share,ate,se_cluster_boot,ci_lo,ci_hi
y_afd_vote,spec_a_plus,≤1945,363,149,0.41,-0.0073,0.0456,-0.1035,0.0806
y_afd_vote,spec_a_plus,1946-55,535,177,0.331,0.1231,0.0629,0.0222,0.2543
y_afd_vote,spec_a_plus,1956-65,727,248,0.341,0.1565,0.0314,0.1002,0.2249
y_afd_vote,spec_a_plus,1966-75,575,191,0.332,0.2372,0.0552,0.1465,0.3529
y_afd_vote,spec_a_plus,1976-85,473,179,0.378,0.1443,0.0778,0.0086,0.3283
y_afd_vote,spec_a_plus,1986-90,277,87,0.314,0.0442,0.0739,-0.0998,0.1907
y_afd_vote,spec_a_plus,1991+,559,120,0.215,-0.0192,0.0608,-0.1522,0.0875
y_afd_vote_all_valid,spec_a_plus,≤1945,376,152,0.404,-0.0006,0.0407,-0.0825,0.0847
y_afd_vote_all_valid,spec_a_plus,1946-55,563,188,0.334,0.1023,0.0444,0.0235,0.1967
y_afd_vote_all_valid,spec_a_plus,1956-65,767,272,0.355,0.1456,0.0302,0.0916,0.2108
y_afd_vote_all_valid,spec_a_plus,1966-75,614,203,0.331,0.2289,0.0547,0.1463,0.3531
y_afd_vote_all_valid,spec_a_plus,1976-85,513,196,0.382,0.1855,0.1099,0.0168,0.4107
y_afd_vote_all_valid,spec_a_plus,1986-90,288,90,0.312,0.0234,0.0685,-0.11,0.1548
y_afd_vote_all_valid,spec_a_plus,1991+,585,125,0.214,-0.0067,0.0512,-0.1037,0.0856
